id,name,state,postcode,suburb,type
66,Victoria University,VIC,,,uni
67,Private Universities (Table B),VIC,,,uni
68,University of Divinity,VIC,,,uni
69,Private Universities (Table C),VIC,,,uni
70,Not applicable,VIC,,,uni
71,Other Approved Higher Education Institutions,VIC,,,uni
72,Australian Guild of Music Education Inc.,VIC,,,uni
73,Box Hill Institute,VIC,,,uni
74,Chisholm Institute,VIC,,,uni
75,Collarts,VIC,,,uni
76,Deakin College,VIC,,,uni
77,Eastern College Australia,VIC,,,uni
78,Holmes Institute,VIC,,,uni
79,Holmesglen Institute of TAFE,VIC,,,uni
80,ISN Psychology Pty Ltd,VIC,,,uni
81,LCI Melbourne,VIC,,,uni
82,La Trobe Melbourne,VIC,,,uni
83,Leo Cussen Institute,VIC,,,uni
84,MIECAT,VIC,,,uni
85,Marcus Oldham College,VIC,,,uni
86,Melbourne Institute of Technology,VIC,,,uni
87,Monash College,VIC,,,uni
88,National Institute of Organisation Dynamics Aust,VIC,,,uni
89,Northern Melbourne Institute of TAFE,VIC,,,uni
90,Photography Studies College (Melbourne),VIC,,,uni
91,Stotts Colleges,VIC,,,uni
92,The Cairnmillar Institute,VIC,,,uni
93,VIT (Victorian Institute of Technology),VIC,,,uni
94,William Angliss Institute of TAFE,VIC,,,uni
95,CQUniversity,QLD,,,uni
96,Griffith University,QLD,,,uni
97,James Cook University,QLD,,,uni
98,Queensland University of Technology,QLD,,,uni
99,The University of Queensland,QLD,,,uni
100,University of Southern Queensland,QLD,,,uni
101,University of the Sunshine Coast,QLD,,,uni
102,Bond University,QLD,,,uni
103,Australian Institute of Professional Counsellors,QLD,,,uni
104,Christian Heritage College,QLD,,,uni
105,Endeavour College of Natural Health,QLD,,,uni
106,Gestalt Therapy Brisbane,QLD,,,uni
107,Griffith College,QLD,,,uni
108,Jazz Music Institute,QLD,,,uni
109,TAFE Queensland,QLD,,,uni
110,The Performing Arts Conservatory,QLD,,,uni
111,Curtin University,WA,,,uni
112,Edith Cowan University,WA,,,uni
113,Murdoch University,WA,,,uni
114,The University of Western Australia,WA,,,uni
115,The University of Notre Dame Australia,WA,,,uni
116,Other Approved Higher Education Institutions,WA,,,uni
117,Curtin College,WA,,,uni
118,Edith Cowan College,WA,,,uni
119,Engineering Institute of Technology Pty Ltd,WA,,,uni
120,North Metropolitan TAFE,WA,,,uni
121,Perth Bible College,WA,,,uni
122,South Metropolitan TAFE,WA,,,uni
123,Flinders University,SA,,,uni
124,The University of Adelaide,SA,,,uni
125,University of South Australia,SA,,,uni
126,Torrens University Australia,SA,,,uni
127,Carnegie Mellon University Australia,SA,,,uni
128,Other Approved Higher Education Institutions,SA,,,uni
129,Adelaide Central School of Art,SA,,,uni
130,Adelaide College of Divinity,SA,,,uni
131,Australian Institute of Business,SA,,,uni
132,Eynesbury,SA,,,uni
133,Ikon Institute of Australia,SA,,,uni
134,International College of Hotel Management,SA,,,uni
135,Le Cordon Bleu Australia,SA,,,uni
136,South Aust Institute of Business & Technology,SA,,,uni
137,TAFE SA,SA,,,uni
138,Tabor Adelaide,SA,,,uni
139,University of Tasmania,TAS,,,uni
140,Batchelor Institute of Indigenous Tertiary Education,NT,,,uni
141,Charles Darwin University,NT,,,uni
142,The Australian National University,ACT,,,uni
143,University of Canberra,ACT,,,uni
144,Australian College of Theology,ACT,,,uni
145,Australian Catholic University,ACT,,,uni
146,Australia College of Nursing Ltd,ACT,,,uni
147,Canberra Institute of Technology,ACT,,,uni
